,lat,lon
256,53.346027,-6.3339735
257,53.346028,-6.334115
258,53.346024,-6.3341715
259,53.346019999999996,-6.334228
260,53.346016,-6.334284500000001
261,53.346012,-6.334341
262,53.346008,-6.3343975
263,53.345984,-6.33456
264,53.345984,-6.33456
265,53.345971000000006,-6.334601
266,53.345957999999996,-6.3346420000000006
267,53.345952999999994,-6.334658
268,53.34594,-6.3346990000000005
269,53.345935000000004,-6.334715
270,53.345922,-6.3347560000000005
271,53.345909,-6.334797
272,53.345904000000004,-6.3348130000000005
273,53.345891,-6.334854
274,53.345878,-6.3348949999999995
275,53.345878,-6.3348949999999995
276,53.345873,-6.3349085
277,53.345847000000006,-6.334977
278,53.345842000000005,-6.3349905
279,53.34582400000001,-6.335034
280,53.345819000000006,-6.3350475
281,53.345800999999994,-6.335091
282,53.345796,-6.3351045
283,53.345791,-6.335118
284,53.345773,-6.3351615
285,53.345768,-6.335175
286,53.345768,-6.335175
287,53.345747,-6.335231500000001
288,53.345726,-6.335288
289,53.345705,-6.3353445
290,53.345697,-6.335371
291,53.345676,-6.3354275
292,53.345655,-6.335484
293,53.345634000000004,-6.3355405
294,53.345625999999996,-6.335566999999999
295,53.345609,-6.335617999999999
296,53.345591999999996,-6.335668999999999
297,53.345591999999996,-6.335668999999999
298,53.345575,-6.3357174999999994
299,53.345558,-6.335766
300,53.345541,-6.3358145
301,53.345524,-6.335863
302,53.345507,-6.3359115
303,53.34549,-6.33596
304,53.345473,-6.3360085
305,53.345456,-6.336057
306,53.345448000000005,-6.336081
307,53.345439999999996,-6.336105
308,53.345439999999996,-6.336105
309,53.3454355,-6.336122
310,53.345419500000006,-6.3361905
311,53.345415,-6.3362075
312,53.3454105,-6.3362245
313,53.3453945,-6.3362929999999995
314,53.34539,-6.33631
315,53.345385500000006,-6.336327
316,53.3453695,-6.3363955
317,53.345365,-6.3364125
318,53.3453605,-6.3364294999999995
319,53.3453605,-6.3364294999999995
320,53.345344499999996,-6.336517
321,53.3453285,-6.3366045
322,53.345324,-6.3366405
323,53.345308,-6.336728
324,53.345292,-6.3368155
325,53.3452875,-6.3368515
326,53.345271499999996,-6.336938999999999
327,53.34525549999999,-6.3370265
328,53.345251,-6.3370625
329,53.345235,-6.337149999999999
330,53.345235,-6.337149999999999
331,53.34523,-6.337187
332,53.3452225,-6.337263500000001
333,53.345214999999996,-6.337339999999999
334,53.3452075,-6.3374165
335,53.3452,-6.337493
336,53.345192499999996,-6.3375695
337,53.345185,-6.337646
338,53.3451775,-6.3377225
339,53.345169999999996,-6.337799
340,53.345165,-6.337836
341,53.345165,-6.337836
342,53.3451625,-6.3379595
343,53.345165,-6.338004
344,53.345169999999996,-6.338089500000001
345,53.345175,-6.338175
346,53.34518,-6.3382605000000005
347,53.345185,-6.338346
348,53.34519,-6.3384315
349,53.345195000000004,-6.338517
350,53.345200000000006,-6.3386025
351,53.345205,-6.338688
352,53.345205,-6.338688
353,53.34522,-6.3388215
354,53.34523,-6.338873
355,53.3452495,-6.3389675
356,53.345269,-6.339062
357,53.345288499999995,-6.3391565000000005
358,53.345308,-6.339251000000001
359,53.345337,-6.3393885
360,53.3453565,-6.339483
361,53.345376,-6.339577500000001
362,53.345395499999995,-6.339672
363,53.345395499999995,-6.339672
364,53.345425,-6.339809000000001
365,53.345451999999995,-6.3399375
366,53.345472,-6.3400315
367,53.345499000000004,-6.340160000000001
368,53.345526,-6.3402885
369,53.345546,-6.3403825000000005
370,53.345566,-6.340476499999999
371,53.345596,-6.340590000000001
372,53.3456345,-6.3407305
373,53.3456645,-6.340844000000001
374,53.3456645,-6.340844000000001
375,53.345684500000004,-6.340906
376,53.3457045,-6.340968
377,53.34573,-6.341048499999999
378,53.3457525,-6.341120500000001
379,53.345775,-6.3411925
380,53.3457975,-6.341264499999999
381,53.34582,-6.341336500000001
382,53.345837,-6.3413900000000005
383,53.3458485,-6.341425
384,53.34586,-6.34146
